Test name	Status	Reply	Alive %	Dead %	Average reply	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	7 ms	100.00 %	0.00 %	7.5	
04. Exalt KPC Pelangi Camp	Host is alive	9 ms	100.00 %	0.00 %	10	
11. ALU M5                      Oncall Telco SGT	Host is alive	18 ms	100.00 %	0.00 %	17	
12. ALU SURYA              Oncall Telco SGT	Host is alive	24 ms	100.00 %	0.00 %	19	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	19 ms	100.00 %	0.00 %	18	
14. ALU AB                      Oncall Telco SGT	Host is alive	30 ms	100.00 %	0.00 %	27	
15. ALU HATARI             Oncall Telco SGT	Host is alive	26 ms	100.00 %	0.00 %	23	
16. ALU PTH                    Oncall Telco SGT	Host is alive	26 ms	100.00 %	0.00 %	27	
17. ALU P11                    Oncall Telco SGT	Host is alive	31 ms	100.00 %	0.00 %	29	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	32 ms	100.00 %	0.00 %	32	
19. ALU 15000                 Oncall Telco BGL	Host is alive	50 ms	100.00 %	0.00 %	38	
21. Link TBTS Inul Middle	Host is alive	8 ms	99.01 %	0.99 %	9.6	
22. Link TBTS Galaxy	Host is alive	12 ms	100.00 %	0.00 %	11	
23. Link TBTS Lignite	Host is alive	12 ms	100.00 %	0.00 %	9.6	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	15 ms	100.00 %	0.00 %	17	
Genset CH 15000	Host is alive	8 ms	100.00 %	0.00 %	8.7	

