Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	23:56:33	23:51:27	00:05:05	
04. Exalt KPC Pelangi Camp	Host is alive	23:56:38	22:53:07	01:03:30	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:56:34	23:56:34	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:56:34	23:56:34	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	1 day 00:01:49	1 day 00:01:49	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:56:34	23:56:34	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:56:34	23:56:34	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:57:46	22:08:51	01:48:55	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:54:51	21:45:52	02:08:58	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:56:34	23:56:34	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:56:31	23:56:31	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:56:11	23:51:02	00:05:08	
21. Link TBTS Inul Middle	Host is alive	23:56:33	23:56:33	00:00:00	
22. Link TBTS Galaxy	Host is alive	23:57:46	22:08:51	01:48:55	
23. Link TBTS Lignite	Host is alive	23:56:37	23:56:37	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:57:25	22:03:24	01:54:01	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	23:56:33	14:27:23	09:29:09	
Genset CH 15000	Host is alive	23:54:53	23:54:53	00:00:00	

