Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	23:57:37	23:52:33	00:05:04	
04. Exalt KPC Pelangi Camp	Host is alive	23:58:46	22:15:33	01:43:12	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:57:27	23:57:27	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:57:26	23:57:26	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	1 day 00:47:34	1 day 00:47:34	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:57:27	23:57:27	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:57:27	23:57:27	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:57:27	23:57:27	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:57:27	23:57:27	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:57:26	23:57:26	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:57:26	23:57:26	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:57:50	23:42:26	00:15:23	
21. Link TBTS Inul Middle	Host is alive	23:57:29	23:57:29	00:00:00	
22. Link TBTS Galaxy	Host is alive	23:57:30	23:57:30	00:00:00	
23. Link TBTS Lignite	Host is alive	23:57:31	23:57:31	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:57:49	23:42:25	00:15:23	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	23:57:26	23:57:26	00:00:00	
Genset CH 15000	Host is alive	23:59:33	23:59:33	00:00:00	

