Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	1 day 00:01:09	23:25:34	00:35:34	
03. Exalt KPC Pit A -----!	Host is alive	23:58:33	20:55:30	03:03:02	
04. Exalt KPC Pelangi Camp	Host is alive	1 day 00:00:43	23:50:32	00:10:10	
05. Switch KPC 15K	Host is alive	1 day 00:00:48	23:50:37	00:10:10	
11. ALU M5                      Oncall Telco SGT	Host is alive	1 day 00:00:54	23:50:37	00:10:16	
12. ALU SURYA              Oncall Telco SGT	Host is alive	1 day 00:00:54	23:50:37	00:10:16	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:50:11	23:50:11	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	1 day 00:00:56	23:50:39	00:10:16	
15. ALU HATARI             Oncall Telco SGT	Host is alive	1 day 00:00:56	23:50:39	00:10:16	
16. ALU PTH                    Oncall Telco SGT	Host is alive	1 day 00:00:53	23:50:36	00:10:16	
17. ALU P11                    Oncall Telco SGT	Host is alive	1 day 00:00:57	23:50:40	00:10:16	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	1 day 00:00:57	23:50:40	00:10:16	
19. ALU 15000                 Oncall Telco BGL	Host is alive	1 day 00:00:55	23:50:38	00:10:16	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	1 day 00:01:05	23:50:49	00:10:16	
21. Link TBTS Inul Middle	Host is alive	1 day 00:00:50	23:50:33	00:10:16	
22. Link TBTS Galaxy	Host is alive	1 day 00:00:51	23:50:34	00:10:16	
23. Link TBTS Lignite	Host is alive	1 day 00:00:55	23:50:38	00:10:16	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	1 day 00:01:49	23:15:42	00:46:06	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	1 day 00:00:58	23:50:41	00:10:16	
26. Link Backup Nokia Lignite to Middle	Host is alive	1 day 00:00:55	23:50:38	00:10:16	
27. Link Backup Nokia Lignite to Middle	Host is alive	1 day 00:01:03	23:50:46	00:10:16	
Genset CH 15000	Host is alive	23:59:12	23:51:14	00:07:58	

