Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
02. Switch KPC LBTT	Host is alive	23:59:27	23:59:27	00:00:00	
04. Exalt KPC Pelangi Camp	Host is alive	23:55:17	23:55:17	00:00:00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:59:27	23:59:27	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:59:21	23:59:21	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	1 day 00:37:16	1 day 00:37:16	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:59:21	23:59:21	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:59:21	23:59:21	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:59:21	23:59:21	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:59:22	23:59:22	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:59:17	23:54:09	00:05:07	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:59:17	23:49:01	00:10:15	
20. ALU LubukTutung     Oncall Telco BGL	No answer	23:59:22	23:49:07	00:10:15	
21. Link TBTS Inul Middle	Host is alive	23:59:19	23:54:11	00:05:07	
22. Link TBTS Galaxy	Host is alive	23:59:27	23:59:27	00:00:00	
23. Link TBTS Lignite	Host is alive	23:59:25	23:54:17	00:05:07	
24. ALU PTH to LBTT   Oncall Telco SGT	No answer	23:59:16	23:49:01	00:10:15	
25. ALU Bintang to AB   Oncall Telco SGT	Host is alive	23:59:18	23:59:18	00:00:00	
Genset CH 15000	Host is alive	23:57:50	23:57:50	00:00:00	

