Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
Genset CH 15000	Host is alive	23:55:44	23:55:44	00:00:00	
27. Link Backup Nokia Middle toLignite	Host is alive	23:55:30	23:55:30	00:00:00	
26. Link Backup Nokia Lignite to Middle	Host is alive	23:55:28	23:55:28	00:00:00	
25. ALU AB to Bintang   Oncall Telco SGT	Host is alive	23:56:17	23:30:39	00:25:37	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:55:50	23:50:44	00:05:06	
23. Link TBTS Lignite	Host is alive	23:55:43	23:55:43	00:00:00	
22. Link TBTS Galaxy ( switch )	Host is alive	23:55:43	23:55:43	00:00:00	
21. Link TBTS Inul Middle	Host is alive	23:55:42	23:55:42	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:55:45	23:55:45	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:55:43	23:55:43	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:55:43	23:55:43	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:55:39	23:55:39	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:55:39	23:55:39	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:55:43	23:55:43	00:00:00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:55:43	23:55:43	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:56:19	23:40:55	00:15:23	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:55:42	23:55:42	00:00:00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:55:27	23:55:27	00:00:00	
05. Switch KPC 15K	Host is alive	23:55:42	23:55:42	00:00:00	
04. Exalt KPC Pelangi Camp	Host is alive	23:55:37	23:55:37	00:00:00	
01. Node Pit B bengalon	Host is alive	23:56:08	23:20:33	00:35:35	

