Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23:55:58	23:50:53	00:05:04	
04. Exalt KPC Pelangi Camp	Host is alive	23:55:58	23:50:53	00:05:04	
05. Switch KPC 15K	Host is alive	23:55:58	23:50:53	00:05:04	
11. ALU M5                      Oncall Telco SGT	Host is alive	23:55:54	23:55:54	00:00:00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23:55:56	23:55:56	00:00:00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23:56:20	23:46:04	00:10:15	
14. ALU AB                      Oncall Telco SGT	Host is alive	23:55:56	23:55:56	00:00:00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23:55:56	23:55:56	00:00:00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23:55:58	23:55:58	00:00:00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23:55:58	23:55:58	00:00:00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23:55:59	23:55:59	00:00:00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23:55:59	23:55:59	00:00:00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23:55:59	23:55:59	00:00:00	
21. Link TBTS Inul Middle	Host is alive	23:55:52	23:55:52	00:00:00	
22. Link TBTS Galaxy ( switch )	Host is alive	23:55:54	23:55:54	00:00:00	
23. Link TBTS Lignite	Host is alive	23:55:52	23:55:52	00:00:00	
24. ALU PTH to LBTT   Oncall Telco SGT	Host is alive	23:56:15	23:45:59	00:10:16	
25. ALU AB to Bintang   Oncall Telco SGT	Host is alive	23:57:09	23:16:06	00:41:03	
26. Link Backup Nokia Lignite to Middle	Host is alive	23:55:52	23:55:52	00:00:00	
27. Link Backup Nokia Middle toLignite	Host is alive	23:55:52	23:55:52	00:00:00	
Genset CH 15000	Host is alive	23:56:00	23:50:52	00:05:07	

