Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23.54.05	22.42.43	01.11.22	
02. Switch KPC LBTT	Host is alive	23.59.26	23.59.26	00.00.00	
04. Exalt KPC Pelangi Camp	Host is alive	23.54.31	23.49.26	00.05.04	
05. Switch KPC 15K	Host is alive	23.54.32	23.39.18	00.15.14	
10. Link Metro MKN Jakarta-----!	Host is alive	23.54.29	23.54.29	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23.59.26	23.59.26	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23.59.27	23.59.27	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23.59.26	23.59.26	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23.59.26	23.59.26	00.00.00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	23.59.28	23.59.28	00.00.00	
17. ALU P11                    Oncall Telco SGT	Host is alive	23.59.28	23.59.28	00.00.00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	23.59.27	23.59.27	00.00.00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	23.59.27	23.59.27	00.00.00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	23.59.27	23.59.27	00.00.00	
21. Link TBTS Inul Middle	Host is alive	23.54.32	23.49.23	00.05.08	
22. Link TBTS Galaxy ( switch )	Host is alive	23.59.28	23.59.28	00.00.00	
23. Link TBTS Lignite	Host is alive	23.54.38	23.44.22	00.10.15	
26. Link Backup Nokia Lignite to Middle	Host is alive	23.54.34	23.49.26	00.05.07	
27. Link Backup Nokia Middle toLignite	Host is alive	23.54.31	23.49.24	00.05.07	
28. Link NEC AB-to-BIG	Host is alive	23.58.26	23.57.41	00.00.45	
29. Link NEC BINTANG-to-AB	Host is alive	23.58.36	23.57.51	00.00.45	
30. Link NEC AB-to-FN	Host is alive	23.58.28	23.42.50	00.15.38	
31. Link NEC FN-to-AB	Host is alive	23.58.25	23.34.49	00.23.36	
32. Link NEC HT to AB	Host is alive	23.58.33	23.43.30	00.15.02	
33. Link NEC AB to HT	Host is alive	23.58.32	23.34.00	00.24.31	
Genset CH 15000	Host is alive	23.54.36	23.49.27	00.05.08	

