 Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23.57.34	23.57.34	00.00.00	
04. Exalt KPC Pelangi Camp	Host is alive	23.57.40	23.52.35	00.05.04	
05. Switch KPC 15K	Host is alive	23.57.35	23.57.35	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23.57.38	23.57.38	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23.57.38	23.57.38	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	23.57.39	23.57.39	00.00.00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23.57.39	23.57.39	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23.57.39	23.57.39	00.00.00	
21. Link TBTS Inul Middle	Host is alive	23.57.34	23.57.34	00.00.00	
22. Link TBTS Galaxy ( switch )	Host is alive	23.57.33	23.57.33	00.00.00	
23. Link TBTS Lignite	Host is alive	23.57.34	23.57.34	00.00.00	
26. Link Backup Nokia Lignite to Middle	Host is alive	23.57.34	23.57.34	00.00.00	
27. Link Backup Nokia Middle toLignite	Host is alive	23.57.34	23.57.34	00.00.00	
28. Link NEC AB-to-BIG	Host is alive	23.56.49	23.56.26	00.00.23	
29. Link NEC BINTANG-to-AB	Host is alive	23.56.57	23.54.38	00.02.18	
30. Link NEC AB-to-FN	Host is alive	23.56.57	23.56.02	00.00.54	
31. Link NEC FN-to-AB	Host is alive	23.56.57	23.54.50	00.02.07	
Genset CH 15000	Host is alive	23.57.34	23.57.34	00.00.00	

