Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	23.56.27	23.56.27	00.00.00	
04. Exalt KPC Pelangi Camp	Host is alive	23.56.31	23.56.31	00.00.00	
05. Switch KPC 15K	Host is alive	23.56.29	23.56.29	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	23.56.30	23.56.30	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	23.56.30	23.56.30	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	1 day 00.01.31	1 day 00.01.31	00.00.00	
14. ALU AB                      Oncall Telco SGT	Host is alive	23.56.30	23.56.30	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	23.56.30	23.56.30	00.00.00	
21. Link TBTS Inul Middle	Host is alive	23.56.30	23.56.30	00.00.00	
22. Link TBTS Galaxy ( switch )	Host is alive	23.56.30	23.56.30	00.00.00	
23. Link TBTS Lignite	Host is alive	23.56.29	23.56.29	00.00.00	
26. Link Backup Nokia Lignite to Middle	Host is alive	23.56.28	23.56.28	00.00.00	
27. Link Backup Nokia Middle toLignite	Host is alive	23.56.28	23.56.28	00.00.00	
28. Link NEC AB-to-BIG	Host is alive	23.59.12	23.58.48	00.00.23	
29. Link NEC BINTANG-to-AB	Host is alive	23.59.26	23.59.02	00.00.23	
30. Link NEC AB-to-FN	Host is alive	23.59.21	23.59.02	00.00.18	
31. Link NEC FN-to-AB	Host is alive	23.59.17	23.58.59	00.00.17	
Genset CH 15000	Host is alive	23.56.29	23.56.29	00.00.00	

