Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC\
01. Node Pit B bengalon	Host is alive	12.25.32	12.25.32	00.00.00	
02. Switch KPC LBTT	Host is alive	12.25.32	12.25.32	00.00.00	
04. Exalt KPC Pelangi Camp	Host is alive	12.20.44	12.10.34	00.10.10	
05. Switch KPC 15K	Host is alive	12.25.32	12.25.32	00.00.00	
11. ALU M5                      Oncall Telco SGT	Host is alive	12.25.32	12.25.32	00.00.00	
12. ALU SURYA              Oncall Telco SGT	Host is alive	12.25.32	12.25.32	00.00.00	
13. ALU BINTANG          Oncall Telco SGT	Host is alive	12.25.32	12.25.32	00.00.00	
15. ALU HATARI             Oncall Telco SGT	Host is alive	12.25.32	12.25.32	00.00.00	
16. ALU PTH                    Oncall Telco SGT	Host is alive	12.25.32	12.25.32	00.00.00	
17. ALU P11                    Oncall Telco SGT	Host is alive	12.25.33	12.25.33	00.00.00	
18. ALU FNORTH            Oncall Telco SGT	Host is alive	12.25.32	12.25.32	00.00.00	
19. ALU 15000                 Oncall Telco BGL	Host is alive	12.25.33	12.25.33	00.00.00	
20. ALU LubukTutung     Oncall Telco BGL	Host is alive	12.25.32	12.25.32	00.00.00	
21. Link TBTS Inul Middle	Host is alive	12.25.34	12.25.34	00.00.00	
22. Link TBTS Galaxy ( switch )	Host is alive	12.25.32	12.25.32	00.00.00	
23. Link TBTS Lignite	Host is alive	12.25.32	12.25.32	00.00.00	
26. Link Backup Nokia Lignite to Middle	Host is alive	12.20.45	12.20.45	00.00.00	
27. Link Backup Nokia Middle toLignite	Host is alive	12.20.36	12.20.36	00.00.00	
28. Link NEC AB-to-BIG	Host is alive	12.16.18	12.16.18	00.00.00	
29. Link NEC BINTANG-to-AB	Host is alive	12.16.34	12.14.39	00.01.54	
30. Link NEC AB-to-FN	Host is alive	12.16.05	12.16.05	00.00.00	
31. Link NEC FN-to-AB	Host is alive	12.16.11	12.12.52	00.03.18	
32. Link NEC HT to AB	Host is alive	12.16.17	12.16.17	00.00.00	
33. Link NEC AB to HT	Host is alive	12.16.13	12.14.43	00.01.29	
Genset CH 15000	Host is alive	12.25.32	12.25.32	00.00.00	

