Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\NEC_MKN_KPC-Link\
12.1 NEC 15K via MKN	Host is alive	23.58.38	23.58.38	00.00.00	
12. NEC 15K	Host is alive	23.57.04	23.45.33	00.11.31	
11.1 NEC LBTT via MKN	Host is alive	23.58.17	23.58.17	00.00.00	
11. NEC LBTT	Host is alive	23.57.04	23.45.35	00.11.29	
10. NEC PNS	Host is alive	23.58.06	23.46.42	00.11.24	
09. NEC PTH	Host is alive	23.57.04	23.45.33	00.11.31	
08. NEC Bintang	Host is alive	23.57.04	23.45.33	00.11.31	
07. NEC Surya	Host is alive	23.57.04	23.45.33	00.11.31	
06. NEC Lignite	Host is alive	23.57.04	23.45.33	00.11.31	
05. NEC Middle	Host is alive	23.57.04	23.45.33	00.11.31	
04. NEC Farnorth	Host is alive	23.57.04	23.45.33	00.11.31	
03. NEC AB	Host is alive	23.57.04	23.45.33	00.11.31	
02. NEC Harapan	Host is alive	23.57.04	23.45.33	00.11.31	
01. NEC M5	Host is alive	23.57.04	23.45.33	00.11.31	

