Test name	Dead time	Alive time	Total time	

Folder: MONITORING\KPC Bengalon\
01. Exalt KPC Exploration Camp	00:00:00	23:57:40	23:57:40	
03. Exalt KPC Pit A -----!	00:00:00	23:56:45	23:56:45	
04. Exalt KPC Pelangi Camp	00:00:00	23:57:48	23:57:48	
06. Exalt KPC di LBTT (arah Pineridge) -----!	00:00:00	23:56:41	23:56:41	
08. Exalt KPC di Pineridge -----!	00:00:00	23:57:03	23:57:03	
10. Link Metro PTDH Jakarta-----!	01:39:21	22:18:05	23:57:26	
11. ALU M5                      Oncall Telco SGT	00:00:00	23:55:33	23:55:33	
12. ALU SURYA              Oncall Telco SGT	00:00:00	23:52:32	23:52:32	
13. ALU BINTANG          Oncall Telco SGT	00:00:00	23:52:22	23:52:22	
14. ALU AB                      Oncall Telco SGT	00:00:00	23:52:19	23:52:19	
15. ALU HATARI             Oncall Telco SGT	00:00:00	23:52:33	23:52:33	
16. ALU PTH                    Oncall Telco SGT	00:00:00	23:52:38	23:52:38	
17. ALU P11                    Oncall Telco SGT	00:00:00	23:52:23	23:52:23	
18. ALU FNORTH            Oncall Telco SGT	00:00:00	23:56:33	23:56:33	
19. ALU 15000                 Oncall Telco BGL	00:00:00	23:56:38	23:56:38	
Exalt-6 di Telkom Sgta	01:42:06	22:13:55	23:56:02	
Genset CH 15000	00:00:00	23:55:09	23:55:09	
Link M5 to PTH di M5	01:34:31	22:20:50	23:55:21	
Link PTH to M5 di PTH	01:34:30	22:21:12	23:55:43	

