Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:55:39	23:55:39	00:00:00	
2. Link Surya to M5	Host is alive	23:55:39	23:55:39	00:00:00	
3. Link Surya to New AB	Host is alive	23:55:39	23:55:39	00:00:00	
4. Link New AB to Surya	Host is alive	23:55:39	23:55:39	00:00:00	
5. Link New AB to Farnorth	Host is alive	23:55:41	23:55:41	00:00:00	
6. Link Farnorth to New AB	Host is alive	23:50:34	23:50:34	00:00:00	
7. Farnorth to Mega Shop	Host is alive	1 day 00:00:29	1 day 00:00:29	00:00:00	
8. Mega Shop to Farnorth	No answer	23:35:02	00:00:00	23:35:02	
9. Link Liebherr Office To Surya	Host is alive	23:50:34	23:50:34	00:00:00	
Link Surya To Liebherr Office	Host is alive	23:50:34	23:50:34	00:00:00	

