Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:52:26	23:25:51	00:26:34	
2. Link Surya to M5	Host is alive	23:52:26	23:25:51	00:26:34	
3. Link Surya to New AB	Host is alive	23:56:49	23:31:36	00:25:12	
4. Link New AB to Surya	Host is alive	23:56:51	23:31:38	00:25:12	
5. Link New AB to Farnorth	Host is alive	23:56:51	23:21:26	00:35:24	
6. Link Farnorth to New AB	No answer	23:52:48	15:40:44	08:12:03	
7. Farnorth to Mega Shop	Host is alive	1 day 00:17:47	1 day 00:17:47	00:00:00	
8. Mega Shop to Farnorth	No answer	1 day 00:14:06	06:45:19	17:28:46	
9. Link Liebherr Office To Surya	Host is alive	23:57:42	23:35:22	00:22:19	
Link Surya To Liebherr Office	Host is alive	23:57:41	23:35:22	00:22:18	

