Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:56:59	23:56:59	00:00:00	
2. Link Surya to M5	Host is alive	23:57:00	23:57:00	00:00:00	
3. Link Surya to New AB	Host is alive	23:57:00	23:57:00	00:00:00	
4. Link New AB to Surya	Host is alive	23:57:00	23:57:00	00:00:00	
5. Link New AB to Farnorth	Host is alive	23:56:59	23:56:59	00:00:00	
6. Link Farnorth to New AB	Host is alive	23:52:05	23:52:05	00:00:00	
7. Farnorth to Mega Shop	Host is alive	1 day 00:12:06	1 day 00:11:51	00:00:15	
8. Mega Shop to Farnorth	No answer	1 day 00:10:27	00:00:00	1 day 00:10:27	
9. Link Liebherr Office To Surya	Host is alive	23:52:09	23:52:09	00:00:00	
Link Surya To Liebherr Office	Host is alive	23:52:09	23:52:09	00:00:00	

