Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:57:15	23:57:15	00:00:00	
2. Link Surya to M5	Host is alive	23:57:15	23:57:15	00:00:00	
3. Link Surya to New AB	Host is alive	23:57:12	23:57:12	00:00:00	
4. Link New AB to Surya	Host is alive	23:57:04	23:57:04	00:00:00	
5. Link New AB to Farnorth	Host is alive	23:57:04	23:57:04	00:00:00	
6. Link Farnorth to New AB	Host is alive	1 day 00:02:47	1 day 00:02:47	00:00:00	
7. Farnorth to Mega Shop	Host is alive	23:42:10	23:42:10	00:00:00	
8. Mega Shop to Farnorth	Host is alive	23:42:01	18:10:50	05:31:11	
9. Link Liebherr Office To Surya	Host is alive	1 day 00:02:48	1 day 00:02:48	00:00:00	
9. Link Surya To Liebherr Office	Host is alive	1 day 00:02:44	1 day 00:02:44	00:00:00	

