Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:56:46	23:56:46	00:00:00	
2. Link Surya to M5	Host is alive	23:56:46	23:56:46	00:00:00	
3. Link Surya to New AB	Host is alive	23:56:46	23:56:46	00:00:00	
4. Link New AB to Surya	Host is alive	23:56:46	23:56:46	00:00:00	
5. Link New AB to Farnorth	Host is alive	23:56:46	23:56:46	00:00:00	
6. Link Farnorth to New AB	Host is alive	23:51:50	23:51:50	00:00:00	
7. Farnorth to Mega Shop	Host is alive	23:31:10	23:31:10	00:00:00	
8. Mega Shop to Farnorth	Host is alive	23:59:43	20:00:27	03:59:15	
9. Link Liebherr Office To Surya	Host is alive	23:51:54	23:51:54	00:00:00	
Link Surya To Liebherr Office	Host is alive	23:51:54	23:51:54	00:00:00	

