Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:57:35	23:57:35	00:00:00	
2. Link Surya to M5	Host is alive	23:57:35	23:57:35	00:00:00	
3. Link Surya to New AB	Host is alive	23:57:35	23:57:35	00:00:00	
4. Link New AB to Surya	Host is alive	23:57:35	23:57:35	00:00:00	
5. Link New AB to Farnorth	Host is alive	23:57:35	23:57:35	00:00:00	
6. Link Farnorth to New AB	Host is alive	1 day 00:02:37	1 day 00:02:37	00:00:00	
7. Farnorth to Mega Shop	Host is alive	23:53:22	23:53:22	00:00:00	
8. Mega Shop to Farnorth	Host is alive	23:47:42	14:00:27	09:47:14	
9. Link Liebherr Office To Surya	Host is alive	1 day 00:02:31	1 day 00:02:31	00:00:00	
9. Link Surya To Liebherr Office	Host is alive	1 day 00:02:31	1 day 00:02:31	00:00:00	

