Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23:57:03	23:52:02	00:05:00	
2. Link Surya to M5	Host is alive	23:57:02	23:52:01	00:05:00	
3. Link Surya to New AB	Host is alive	23:57:04	23:52:03	00:05:00	
4. Link New AB to Surya	Host is alive	23:57:05	23:52:04	00:05:00	
5. Link New AB to Farnorth	Host is alive	23:57:06	23:52:05	00:05:00	
6. Link Farnorth to New AB	Host is alive	23:52:06	23:42:05	00:10:00	
7. Farnorth to Mega Shop	Host is alive	1 day 00:00:34	1 day 00:00:34	00:00:00	
8. Mega Shop to Farnorth	No answer	1 day 00:05:21	00:00:00	1 day 00:05:21	
9. Link Liebherr Office To Surya	Host is alive	23:52:03	23:42:02	00:10:00	
9. Link Surya To Liebherr Office	Host is alive	23:52:00	23:41:59	00:10:00	

