Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.57.32	23.15.15	00.42.16	
2. Link Surya to M5	Host is alive	23.57.32	23.05.09	00.52.23	
3. Link Surya to New AB	Host is alive	23.57.32	23.05.09	00.52.23	
4. Link New AB to Surya	Host is alive	23.57.32	23.05.09	00.52.22	
5. Link New AB to Farnorth	Host is alive	23.57.34	23.10.10	00.47.23	
6. Link Farnorth to New AB	Host is alive	1 day 00.02.34	23.29.41	00.32.53	
7. Farnorth to Mega Shop	Host is alive	1 day 00.02.14	1 day 00.01.45	00.00.29	
8. Mega Shop to Farnorth	No answer	1 day 00.00.12	03.30.05	20.30.06	
9. Link Liebherr Office To Surya	Host is alive	1 day 00.02.35	23.39.46	00.22.48	
9. Link Surya To Liebherr Office	Host is alive	1 day 00.02.35	23.19.30	00.43.04	

