Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.54.50	23.54.50	00.00.00	
2. Link Surya to M5	Host is alive	23.54.48	23.54.48	00.00.00	
3. Link Surya to New AB	Host is alive	23.54.48	23.54.48	00.00.00	
4. Link New AB to Surya	Host is alive	23.54.48	23.54.48	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.54.50	23.54.50	00.00.00	
6. Link Farnorth to New AB	Host is alive	23.59.42	23.59.42	00.00.00	
7. Farnorth to Mega Shop	Host is alive	23.59.44	23.59.44	00.00.00	
8. Mega Shop to Farnorth	No answer	1 day 00.00.14	00.00.00	1 day 00.00.14	
9. Link Liebherr Office To Surya	Host is alive	23.59.43	23.59.43	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	23.59.43	23.59.43	00.00.00	

