Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	1 day 00.00.46	23.55.38	00.05.07	
2. Link Surya to M5	Host is alive	1 day 00.00.47	23.55.39	00.05.07	
3. Link Surya to New AB	Host is alive	1 day 00.00.46	23.55.38	00.05.07	
4. Link New AB to Surya	Host is alive	1 day 00.00.45	23.55.39	00.05.06	
5. Link New AB to Farnorth	Host is alive	1 day 00.00.44	23.55.38	00.05.06	
6. Link Farnorth to New AB	Host is alive	1 day 00.00.34	1 day 00.00.34	00.00.00	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.42	23.30.34	00.30.08	
8. Mega Shop to Farnorth	No answer	1 day 00.05.16	00.00.00	1 day 00.05.16	
9. Link Liebherr Office To Surya	Host is alive	1 day 00.00.34	1 day 00.00.34	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	1 day 00.00.34	1 day 00.00.34	00.00.00	

