Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\NEC_MKN_KPC-Link\
01. NEC M5	Host is alive	08.54.36	08.54.36	00.00.00	
02. NEC Harapan	Host is alive	08.54.36	08.54.36	00.00.00	
03. NEC AB	Host is alive	08.54.36	08.54.36	00.00.00	
04. NEC Farnorth	Host is alive	08.54.36	08.54.36	00.00.00	
05. NEC Middle	Host is alive	08.54.36	08.54.36	00.00.00	
06. NEC Lignite	Host is alive	08.54.36	08.54.36	00.00.00	
07. NEC Surya	Host is alive	08.54.37	08.54.37	00.00.00	
08. NEC Bintang	Host is alive	08.54.36	08.54.36	00.00.00	
09. NEC PTH	Host is alive	08.54.36	08.54.36	00.00.00	
10. NEC PNS	Host is alive	08.48.03	08.48.03	00.00.00	
11. NEC LBTT	Host is alive	08.54.36	08.54.36	00.00.00	
11.1 NEC LBTT via MKN	Host is alive	08.48.24	08.45.03	00.03.21	
12. NEC 15K	Host is alive	08.54.35	08.54.35	00.00.00	
12.1 NEC 15K via MKN	Host is alive	08.48.26	08.45.05	00.03.21	

