Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	04.20.26	04.20.26	00.00.00	
10. Link Liebherr Office To Surya	Host is alive	04.30.19	04.30.19	00.00.00	
2. Link Surya to M5	Host is alive	04.20.26	04.20.26	00.00.00	
3. Link Surya to New AB	Host is alive	04.20.26	04.20.26	00.00.00	
4. Link New AB to Surya	Host is alive	04.20.26	04.20.26	00.00.00	
5. Link New AB to Farnorth	Host is alive	04.20.26	04.20.26	00.00.00	
6. Link Farnorth to New AB	Host is alive	04.20.25	04.10.16	00.10.08	
7. Farnorth to Mega Shop	Host is alive	05.00.04	05.00.04	00.00.00	
8. Mega Shop to Farnorth	Host is alive	05.00.04	05.00.04	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	04.30.18	04.30.18	00.00.00	

