Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\NEC_MKN_KPC-Link\
13. NEC PitJ	Host is alive	17.30.19	17.30.19	00.00.00	
13. NEC M5 -PitJ	Host is alive	17.30.23	17.30.23	00.00.00	
12.1 NEC 15K via MKN	Host is alive	17.29.54	17.28.45	00.01.08	
12. NEC 15K	Host is alive	17.30.52	14.56.55	02.33.56	
11.1 NEC LBTT via MKN	Host is alive	17.29.03	17.27.55	00.01.08	
11. NEC LBTT	Host is alive	17.30.19	17.30.19	00.00.00	
10. NEC PNS	Host is alive	17.29.17	17.27.09	00.02.08	
09. NEC PTH	Host is alive	17.30.17	17.30.17	00.00.00	
08. NEC Bintang	Host is alive	17.30.17	17.30.17	00.00.00	
07. NEC Surya	Host is alive	17.30.17	17.30.17	00.00.00	
06. NEC Lignite	Host is alive	17.30.18	17.30.18	00.00.00	
05. NEC Middle	Host is alive	17.30.19	17.30.19	00.00.00	
04. NEC Farnorth	Host is alive	17.30.18	17.30.18	00.00.00	
03. NEC AB	Host is alive	17.30.17	17.30.17	00.00.00	
02. NEC Harapan	Host is alive	17.30.17	17.30.17	00.00.00	
01. NEC M5	Host is alive	17.30.17	17.30.17	00.00.00	

