Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\KPC LINK\
01. Node Pit B bengalon	Host is alive	1 day 00.00.35	23.45.19	00.15.15	
02. Switch KPC LBTT	Host is alive	23.56.20	23.56.20	00.00.00	
04. Exalt KPC Pelangi Camp	Host is alive	1 day 00.00.40	23.45.25	00.15.15	
05. Switch KPC 15K	Host is alive	1 day 00.00.46	23.45.30	00.15.16	
22. Link TBTS Galaxy ( switch )	Host is alive	23.56.19	23.56.19	00.00.00	
Exalt CH15000 (arah CH22)	Host is alive	1 day 00.00.40	23.55.36	00.05.03	
Exalt CH15000 (arah Explor)	Host is alive	1 day 00.00.44	23.25.21	00.35.23	
Exalt CH15000 (arah Pelangi)	Host is alive	1 day 00.00.34	23.45.23	00.15.11	
Exalt CH15000 (arah Pos 14)	Host is alive	1 day 00.00.34	23.40.21	00.20.13	
Genset CH 15000	Host is alive	23.56.01	23.56.01	00.00.00	

