Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\NEC_MKN_KPC-Link\
01. NEC M5	Host is alive	23.52.23	23.52.23	00.00.00	
02. NEC Harapan	Host is alive	23.52.15	23.52.15	00.00.00	
03. NEC AB	Host is alive	23.52.15	23.52.15	00.00.00	
04. NEC Farnorth	Host is alive	23.52.16	23.52.16	00.00.00	
05. NEC Middle	Host is alive	23.52.16	23.52.16	00.00.00	
06. NEC Lignite	Host is alive	23.52.16	23.52.16	00.00.00	
07. NEC Surya	Host is alive	23.52.20	23.52.20	00.00.00	
08. NEC Bintang	Host is alive	23.52.15	23.52.15	00.00.00	
09. NEC PTH	Host is alive	23.52.15	23.52.15	00.00.00	
10. NEC PNS	Host is alive	23.54.50	23.53.42	00.01.07	
11. NEC LBTT	Host is alive	23.52.15	23.52.15	00.00.00	
11.1 NEC LBTT via MKN	Host is alive	23.55.50	23.55.50	00.00.00	
12. NEC 15K	Host is alive	23.52.18	23.52.18	00.00.00	
12.1 NEC 15K via MKN	Host is alive	23.54.25	23.52.09	00.02.15	
13. NEC M5 -PitJ	Host is alive	23.52.15	23.52.15	00.00.00	
13. NEC PitJ	Host is alive	23.52.15	23.52.15	00.00.00	

