Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	10.06.10	10.06.10	00.00.00	
10. Link Liebherr Office To Surya	Host is alive	10.00.31	10.00.31	00.00.00	
2. Link Surya to M5	Host is alive	10.06.09	10.06.09	00.00.00	
3. Link Surya to New AB	Host is alive	10.06.09	10.06.09	00.00.00	
4. Link New AB to Surya	Host is alive	10.06.09	10.06.09	00.00.00	
5. Link New AB to Farnorth	Host is alive	10.06.09	10.06.09	00.00.00	
6. Link Farnorth to New AB	Host is alive	10.00.27	10.00.27	00.00.00	
7. Farnorth to Mega Shop	Host is alive	10.00.10	10.00.10	00.00.00	
8. Mega Shop to Farnorth	No answer	10.02.14	00.00.00	10.02.14	
9. Link Surya To Liebherr Office	Host is alive	10.00.31	10.00.31	00.00.00	

