Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
10. Link Liebherr Office To Surya	Host is alive	23.55.54	23.55.54	00.00.00	
9. Link Surya To Liebherr Office	Host is alive	23.55.54	23.55.54	00.00.00	
6. Link Farnorth to New AB	Host is alive	23.55.50	23.55.50	00.00.00	
5. Link New AB to Farnorth	Host is alive	23.58.19	23.58.19	00.00.00	
4. Link New AB to Surya	Host is alive	23.58.18	23.58.18	00.00.00	
1. Link M5 to Surya	Host is alive	23.58.19	23.58.19	00.00.00	
3. Link Surya to New AB	Host is alive	23.58.18	23.58.18	00.00.00	
2. Link Surya to M5	Host is alive	23.58.18	23.58.18	00.00.00	
8. Mega Shop to Farnorth	No answer	23.57.08	00.00.00	23.57.08	
7. Farnorth to Mega Shop	Host is alive	23.37.35	23.37.35	00.00.00	

