Test name	Status	Total time	Alive time	Dead time	

Folder: MONITORING\LIEBHER\
1. Link M5 to Surya	Host is alive	23.52.52	23.27.11	00.25.40	
10. Link Liebherr Office To Surya	Host is alive	1 day 00.01.45	23.21.14	00.40.31	
2. Link Surya to M5	Host is alive	23.52.54	23.27.13	00.25.41	
3. Link Surya to New AB	Host is alive	23.52.51	23.27.09	00.25.41	
4. Link New AB to Surya	Host is alive	23.57.50	23.37.18	00.20.31	
5. Link New AB to Farnorth	Host is alive	23.57.55	23.37.23	00.20.32	
6. Link Farnorth to New AB	Host is alive	1 day 00.01.45	23.21.13	00.40.32	
7. Farnorth to Mega Shop	Host is alive	1 day 00.00.27	1 day 00.00.27	00.00.00	
8. Mega Shop to Farnorth	No answer	23.35.22	00.00.00	23.35.22	
9. Link Surya To Liebherr Office	Host is alive	1 day 00.01.35	23.31.11	00.30.23	

